configID	GameType	RoomKindName	MaxSeat	BigBlind	RendFeePerDay	DeskFee	DividFeeRate	miniTakeIn	maxTakeIn	Reward	CoinTopLimit	CoinLowLimit	NeedRegister	isOmitNewPlayerHalo	MaxLose
1	0	金币德州 初级	9	2	2	1	0	20	400	101,102,103	100000	0	0	0	0
2	0	金币德州 初级	9	4	4	1	0	40	800	201,202,203	0	2000	0	0	0
3	0	金币德州 初级	9	10	10	2	1	100	2000	301,302,303	0	5000	0	0	0
4	0	金币德州 中级	9	20	20	5	1	200	4000	401,402,403	0	20000	1	0	80000
5	0	金币德州 中级	9	50	50	10	2	500	10000	501,502,503	0	50000	1	0	200000
6	0	金币德州 中级	9	100	100	30	3	1000	20000	601,602,603	0	100000	1	0	400000
7	0	金币德州 中级	9	200	200	70	3	2000	40000	701,702,703	0	200000	1	0	800000
8	0	金币德州 高级	9	500	500	150	3	5000	100000	801,802,803	0	500000	1	0	2000000
9	0	金币德州 高级	9	1000	1000	350	5	10000	200000	901,902,903	0	1000000	1	0	4000000
10	0	金币德州 高级	9	2000	2000	700	5	20000	400000	1001,1002,1003	0	2000000	1	0	8000000
11	0	金币德州 高级	9	5000	5000	1400	5	50000	1000000	1101,1102,1103	0	5000000	1	0	20000000
12	0	金币德州 高级	9	10000	10000	3500	5	100000	2000000	1201,1202,1203	0	10000000	1	0	40000000
13	0	金币德州 高级	9	20000	20000	7000	5	200000	4000000	1301,1302,1303	0	20000000	1	0	80000000
14	0	金币德州 高级	9	40000	40000	14000	5	400000	8000000	1401,1402,1403	0	40000000	1	0	160000000
15	0	金币德州 初级	5	2	1	1	1	20	400	101,102,103	0	0	0	0	0
16	0	金币德州 初级	5	4	2	1	1	40	800	201,202,203	0	0	0	0	0
17	0	金币德州 初级	5	10	5	2	1	100	2000	301,302,303	0	0	0	0	0
18	0	金币德州 中级	5	20	10	5	1	200	4000	401,402,403	0	0	1	0	0
19	0	金币德州 中级	5	50	25	10	1	500	10000	501,502,503	0	0	1	0	0
20	0	金币德州 中级	5	100	50	30	1	1000	20000	601,602,603	0	0	1	0	0
21	0	金币德州 中级	5	200	100	70	1	2000	40000	701,702,703	0	0	1	0	0
22	0	金币德州 高级	5	500	250	150	1	5000	100000	801,802,803	0	0	1	0	0
23	0	金币德州 高级	5	1000	500	350	1	10000	200000	901,902,903	0	0	1	0	0
24	0	金币德州 高级	5	2000	1000	700	1	20000	400000	1001,1002,1003	0	0	1	0	0
25	0	金币德州 高级	5	5000	2500	1400	1	50000	1000000	1101,1102,1103	0	0	1	0	0
26	0	金币德州 高级	5	10000	5000	3500	1	100000	2000000	1201,1202,1203	0	0	1	0	0
27	0	金币德州 高级	5	20000	10000	7000	1	200000	4000000	1301,1302,1303	0	0	1	0	0
28	0	金币德州 高级	5	40000	20000	14000	1	400000	8000000	1401,1402,1403	0	0	1	0	0
29	1	 金币牛牛 初级	6	1	1	1	0	500	0	2901,2902,2903	100000	0	0	0	0
30	1	 金币牛牛 初级	6	5	5	5	1	2500	0	3001,3002,3003	0	2000	0	0	0
31	1	 金币牛牛 初级	6	10	10	10	2	5000	0	3101,3102,3103	0	5000	0	0	0
32	1	 金币牛牛 初级	6	50	50	50	3	25000	0	3201,3202,3203	0	50000	0	0	0
33	1	 金币牛牛 中级	6	100	100	100	3	50000	0	3301,3302,3303	0	100000	1	0	0
34	1	 金币牛牛 中级	6	500	500	500	4	250000	0	3401,3402,3403	0	500000	1	0	0
35	1	 金币牛牛 高级	6	1000	1000	1000	5	500000	0	3501,3502,3503	0	1000000	1	0	0
36	1	 金币牛牛 高级	6	10000	10000	10000	5	5000000	0	3601,3602,3603	0	10000000	1	0	0
